Organization: KDE
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"snoretoast","https://github.com/KDE/snoretoast","https://api.github.com/repos/KDE/snoretoast/languages","2023-01-03T12:27:05Z","2013-07-03T13:16:03Z","2024-12-21T08:10:03Z","C++",false,false,1,"[]"
"ghostwriter","https://github.com/KDE/ghostwriter","https://api.github.com/repos/KDE/ghostwriter/languages","2024-12-21T01:46:10Z","2015-08-22T09:13:13Z","2024-12-24T14:15:34Z","C++",false,false,22,"[]"

Organization: openstreetmap
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"openstreetmap-website","https://github.com/openstreetmap/openstreetmap-website","https://api.github.com/repos/openstreetmap/openstreetmap-website/languages","2024-12-22T11:15:57Z","2010-05-01T16:22:12Z","2024-12-24T09:02:35Z","Ruby",true,false,622,"[""openstreetmap"",""rails-application"",""ruby""]"
"merkaartor","https://github.com/openstreetmap/merkaartor","https://api.github.com/repos/openstreetmap/merkaartor/languages","2024-10-02T20:34:26Z","2010-05-01T17:58:24Z","2024-12-18T10:41:03Z","C++",true,false,65,"[""hacktoberfest"",""hacktoberfest2021"",""openstreetmap""]"
"potlatch","https://github.com/openstreetmap/potlatch","https://api.github.com/repos/openstreetmap/potlatch/languages","2013-06-25T08:10:07Z","2010-05-01T20:31:35Z","2017-09-12T14:48:29Z","ActionScript",true,false,2,"[]"
"mapnik-stylesheets","https://github.com/openstreetmap/mapnik-stylesheets","https://api.github.com/repos/openstreetmap/mapnik-stylesheets/languages","2023-01-22T13:44:09Z","2010-05-01T20:43:49Z","2024-04-03T14:17:33Z","Python",true,true,19,"[]"
"shp2osm","https://github.com/openstreetmap/shp2osm","https://api.github.com/repos/openstreetmap/shp2osm/languages","2012-01-02T08:19:42Z","2010-05-01T20:52:56Z","2024-03-15T01:03:14Z","Python",true,false,1,"[]"
"mod_tile","https://github.com/openstreetmap/mod_tile","https://api.github.com/repos/openstreetmap/mod_tile/languages","2024-11-11T16:50:35Z","2010-05-02T12:22:44Z","2024-12-19T02:22:51Z","C++",true,false,58,"[]"
"gosmore","https://github.com/openstreetmap/gosmore","https://api.github.com/repos/openstreetmap/gosmore/languages","2014-03-17T20:45:09Z","2010-05-02T20:59:31Z","2022-05-29T04:38:18Z","C++",true,false,2,"[]"
"map-icons","https://github.com/openstreetmap/map-icons","https://api.github.com/repos/openstreetmap/map-icons/languages","2016-09-18T16:40:09Z","2010-05-02T21:16:29Z","2024-08-21T20:58:10Z","HTML",true,false,4,"[]"
"cgimap","https://github.com/openstreetmap/cgimap","https://api.github.com/repos/openstreetmap/cgimap/languages","2022-07-22T13:00:23Z","2010-07-21T19:30:52Z","2024-08-15T12:09:15Z","C++",true,true,1,"[]"
"OSM-binary","https://github.com/openstreetmap/OSM-binary","https://api.github.com/repos/openstreetmap/OSM-binary/languages","2024-12-10T08:58:15Z","2010-08-09T17:12:03Z","2024-12-21T16:50:19Z","Java",true,false,1,"[]"
"potlatch2","https://github.com/openstreetmap/potlatch2","https://api.github.com/repos/openstreetmap/potlatch2/languages","2022-07-25T23:07:56Z","2011-03-10T15:34:28Z","2023-11-26T09:17:56Z","ActionScript",false,false,18,"[]"
"osmembrane","https://github.com/openstreetmap/osmembrane","https://api.github.com/repos/openstreetmap/osmembrane/languages","2021-11-04T07:09:01Z","2011-09-23T12:53:32Z","2024-11-07T23:16:29Z","Java",true,false,1,"[]"
"osmosis","https://github.com/openstreetmap/osmosis","https://api.github.com/repos/openstreetmap/osmosis/languages","2024-06-20T10:38:27Z","2011-10-12T18:48:02Z","2024-12-10T07:15:59Z","Java",true,false,46,"[]"
"openstreetmap-mirror","https://github.com/openstreetmap/openstreetmap-mirror","https://api.github.com/repos/openstreetmap/openstreetmap-mirror/languages","2023-07-15T21:00:54Z","2011-12-31T05:11:00Z","2024-12-20T06:18:09Z","Shell",true,false,7,"[]"
"mkgmap","https://github.com/openstreetmap/mkgmap","https://api.github.com/repos/openstreetmap/mkgmap/languages","2019-09-14T20:39:20Z","2012-01-02T09:54:37Z","2024-11-30T12:22:28Z","Java",true,false,3,"[]"
"iD","https://github.com/openstreetmap/iD","https://api.github.com/repos/openstreetmap/iD/languages","2024-12-23T09:20:00Z","2012-07-11T13:20:04Z","2024-12-24T04:17:50Z","JavaScript",true,false,1294,"[""d3"",""editor"",""javascript"",""mapping"",""openstreetmap""]"
"leaflet-osm","https://github.com/openstreetmap/leaflet-osm","https://api.github.com/repos/openstreetmap/leaflet-osm/languages","2024-12-18T13:42:36Z","2012-10-09T04:02:39Z","2024-12-18T13:42:40Z","JavaScript",true,false,6,"[]"
"osmtaginfo","https://github.com/openstreetmap/osmtaginfo","https://api.github.com/repos/openstreetmap/osmtaginfo/languages","2022-08-09T16:46:19Z","2013-09-04T07:03:06Z","2022-08-09T10:49:22Z","PHP",true,false,2,"[]"
"gpx-updater","https://github.com/openstreetmap/gpx-updater","https://api.github.com/repos/openstreetmap/gpx-updater/languages","2023-07-27T15:51:20Z","2013-10-10T23:57:02Z","2024-07-26T22:47:58Z","Perl",true,false,4,"[]"
"openstreetmap-license-change","https://github.com/openstreetmap/openstreetmap-license-change","https://api.github.com/repos/openstreetmap/openstreetmap-license-change/languages","2024-01-12T15:01:28Z","2013-11-04T18:45:15Z","2022-06-19T12:12:47Z","Ruby",true,false,11,"[""openstreetmap""]"
"openstreetmap-forum","https://github.com/openstreetmap/openstreetmap-forum","https://api.github.com/repos/openstreetmap/openstreetmap-forum/languages","2020-07-15T19:19:25Z","2014-03-19T13:29:36Z","2023-03-08T09:49:28Z","PHP",false,true,1,"[]"
"owg-website","https://github.com/openstreetmap/owg-website","https://api.github.com/repos/openstreetmap/owg-website/languages","2024-12-09T18:56:07Z","2014-03-21T11:45:55Z","2024-12-19T18:29:06Z","CSS",true,false,6,"[]"
"planet-notes-dump","https://github.com/openstreetmap/planet-notes-dump","https://api.github.com/repos/openstreetmap/planet-notes-dump/languages","2023-12-23T16:52:25Z","2014-08-01T08:10:07Z","2023-12-29T18:55:09Z","Python",true,false,2,"[]"
"chef","https://github.com/openstreetmap/chef","https://api.github.com/repos/openstreetmap/chef/languages","2024-12-23T22:17:52Z","2014-11-14T19:20:31Z","2024-12-23T22:17:56Z","Ruby",true,false,7,"[""chef"",""hardware"",""infrastructure"",""openstreetmap"",""ops""]"
"operations","https://github.com/openstreetmap/operations","https://api.github.com/repos/openstreetmap/operations/languages","2024-11-08T20:14:57Z","2014-12-15T21:29:44Z","2024-12-03T23:13:42Z",,true,false,143,"[""issue-tracker"",""openstreetmap"",""ops""]"

Organization: LibreOffice
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"libmspub","https://github.com/LibreOffice/libmspub","https://api.github.com/repos/LibreOffice/libmspub/languages","2020-02-18T00:10:13Z","2013-10-31T16:50:59Z","2024-11-28T16:28:12Z","C++",true,false,4,"[]"
"libexttextcat","https://github.com/LibreOffice/libexttextcat","https://api.github.com/repos/LibreOffice/libexttextcat/languages","2024-01-01T17:05:12Z","2013-10-31T16:52:15Z","2024-08-02T02:19:02Z","C++",true,false,4,"[]"
"libfreehand","https://github.com/LibreOffice/libfreehand","https://api.github.com/repos/LibreOffice/libfreehand/languages","2021-05-31T13:41:41Z","2013-10-31T16:52:38Z","2024-01-26T10:34:54Z","C",false,false,1,"[]"
"dictionaries","https://github.com/LibreOffice/dictionaries","https://api.github.com/repos/LibreOffice/dictionaries/languages","2024-12-24T16:36:33Z","2013-10-31T16:54:54Z","2024-12-24T16:36:37Z","Python",true,false,3,"[]"
"mso-dumper","https://github.com/LibreOffice/mso-dumper","https://api.github.com/repos/LibreOffice/mso-dumper/languages","2023-04-19T12:07:00Z","2013-11-26T21:53:20Z","2024-08-12T19:23:11Z","Python",true,false,7,"[]"
"impress_remote","https://github.com/LibreOffice/impress_remote","https://api.github.com/repos/LibreOffice/impress_remote/languages","2024-09-03T19:49:14Z","2014-01-31T01:07:56Z","2024-09-03T19:49:18Z","Objective-C",false,false,1,"[]"
"lots","https://github.com/LibreOffice/lots","https://api.github.com/repos/LibreOffice/lots/languages","2024-10-03T17:06:34Z","2014-12-07T20:11:29Z","2024-12-17T21:34:28Z","Java",true,false,37,"[""java"",""libreoffice"",""libreoffice-api"",""libreoffice-extension"",""libreoffice-writer""]"
"online","https://github.com/LibreOffice/online","https://api.github.com/repos/LibreOffice/online/languages","2023-10-24T12:23:04Z","2015-05-21T15:11:18Z","2024-12-15T17:09:55Z","JavaScript",false,false,1,"[""libreoffice"",""libreoffice-online"",""wopi""]"
"loeclipse","https://github.com/LibreOffice/loeclipse","https://api.github.com/repos/LibreOffice/loeclipse/languages","2024-12-23T13:56:04Z","2015-10-28T00:15:35Z","2024-12-23T13:56:09Z","Java",true,false,27,"[""eclipse"",""java"",""libreoffice"",""libreoffice-extension"",""python""]"
"noa-libre","https://github.com/LibreOffice/noa-libre","https://api.github.com/repos/LibreOffice/noa-libre/languages","2022-10-04T16:57:08Z","2015-11-23T14:49:17Z","2024-09-07T05:06:28Z","Java",true,false,13,"[""java"",""libreoffice"",""uno-api""]"
"lots-config","https://github.com/LibreOffice/lots-config","https://api.github.com/repos/LibreOffice/lots-config/languages","2023-07-10T08:54:57Z","2020-01-10T12:27:50Z","2023-10-08T00:49:26Z","Shell",true,false,3,"[]"
"barcode","https://github.com/LibreOffice/barcode","https://api.github.com/repos/LibreOffice/barcode/languages","2023-08-10T19:40:11Z","2020-08-26T12:10:38Z","2024-09-30T13:15:06Z","Python",true,false,5,"[""libreoffice"",""libreoffice-extension"",""python3""]"

Organization: linuxfoundation
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"lfevents","https://github.com/linuxfoundation/lfevents","https://api.github.com/repos/linuxfoundation/lfevents/languages","2024-12-23T20:45:32Z","2019-02-15T04:30:47Z","2024-12-23T20:45:33Z","PHP",true,false,15,"[]"
"lf-podcast","https://github.com/linuxfoundation/lf-podcast","https://api.github.com/repos/linuxfoundation/lf-podcast/languages","2024-08-15T11:26:59Z","2022-06-10T16:03:37Z","2024-12-16T11:14:02Z","JavaScript",true,false,13,"[""cncf"",""finos"",""hyperledger"",""linuxfoundation"",""open-source"",""openjs-foundation"",""openssf"",""security""]"
"lfx-resources","https://github.com/linuxfoundation/lfx-resources","https://api.github.com/repos/linuxfoundation/lfx-resources/languages","2022-08-24T15:21:03Z","2022-07-11T19:47:57Z","2024-06-28T11:37:10Z",,true,false,1,"[]"
